blockname,availability,timeblock
SHG/MARFC/PRECIP/QPF-QPF,a,18JAN2017:1200/18JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,18JAN2017:1800/18JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,19JAN2017:0000/19JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,19JAN2017:0600/19JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,19JAN2017:1200/19JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,19JAN2017:1800/19JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,20JAN2017:0000/20JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,20JAN2017:0600/20JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,20JAN2017:1200/20JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,20JAN2017:1800/20JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,21JAN2017:0000/21JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,21JAN2017:0600/21JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,21JAN2017:1200/21JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,21JAN2017:1800/21JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,22JAN2017:0000/22JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,22JAN2017:0600/22JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,22JAN2017:1200/22JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,22JAN2017:1800/22JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,23JAN2017:0000/23JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,23JAN2017:0600/23JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,23JAN2017:1200/23JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,23JAN2017:1800/23JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,24JAN2017:0000/24JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,24JAN2017:0600/24JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,24JAN2017:1200/24JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,24JAN2017:1800/24JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,25JAN2017:0000/25JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,25JAN2017:0600/25JAN2017:1200
SHG/MARFC/PRECIP/QPF-QPF,a,25JAN2017:1200/25JAN2017:1800
SHG/MARFC/PRECIP/QPF-QPF,a,25JAN2017:1800/25JAN2017:2400
SHG/MARFC/PRECIP/QPF-QPF,a,26JAN2017:0000/26JAN2017:0600
SHG/MARFC/PRECIP/QPF-QPF,a,26JAN2017:0600/26JAN2017:1200
